index,name,l,a,b
0,lightpink,81.05451105749744,27.9609379839596,5.03958376714726
1,pink,83.58644633212619,24.141807714718077,3.3296933027973985
2,crimson,47.03623932452015,70.92085644380907,33.600795706947814
3,lavenderblush,96.06870419863472,5.885011288240872,-0.5892059833512375
4,palevioletred,60.56787364393959,45.51789123562821,0.4051282606378548
5,hotpink,65.48588180868495,64.23724687033244,-10.643083480423577
6,deeppink,55.96047798987999,84.53810516143773,-5.697376407464239
7,mediumvioletred,44.76627270122671,70.99149148960248,-15.166747268866509
8,orchid,62.80286880509048,55.28061002856144,-34.40067654856631
9,thistle,80.07771827572013,13.215455444054115,-9.22482181373303
10,plum,73.37371082627936,32.52880425023852,-21.98161527971758
11,violet,69.69541331432926,56.35468966779372,-36.80575976820519
12,fuchsia,60.323506527414594,98.23305386311316,-60.821015244145116
13,darkmagenta,32.59975874846828,62.550882894220564,-38.728391844007334
14,purple,29.784243348507673,58.92714115958983,-36.48475141326245
15,mediumorchid,53.6433169480964,59.058660878603064,-47.39872002225398
16,darkviolet,39.57900763361294,76.32062809612974,-70.36321179418566
17,darkorchid,43.37965391948424,65.1519338805171,-60.09441205278308
18,indigo,20.468866675974162,51.68456479626529,-53.31049562004502
19,blueviolet,42.187106248591874,69.84298738867317,-74.75998054383612
20,mediumpurple,54.974437973071744,36.795367745859785,-50.0856156136316
21,mediumslateblue,52.15549095688844,41.0656237605867,-65.39223108999113
22,slateblue,45.33553817762539,36.03698129528116,-57.768371569875484
23,darkslateblue,30.828037016253703,26.04911990497988,-42.07984475114254
24,ghostwhite,97.75719708042892,1.2446511063056165,-3.340816178849315
25,lavender,91.82746215233252,3.705355021151213,-9.656727243539788
26,blue,32.29567256501352,79.18559091176553,-107.85730020669489
27,mediumblue,24.970291843926994,67.17489574498775,-91.49774363360913
28,darkblue,14.752754191287075,50.422219703498584,-68.67921834046864
29,navy,12.971164009638265,47.50112421390687,-64.70044556722023
30,midnightblue,15.857131603623504,31.71176731342376,-49.5726437860102
31,royalblue,47.829624567774665,26.259943118982388,-65.25982491788538
32,cornflowerblue,61.92568256843833,9.329853556425238,-49.29382665798332
33,lightsteelblue,78.45152676488337,-1.2839961733367988,-15.206782351985026
34,lightslategray,55.916682882161155,-2.249522604624743,-11.104766609235185
35,slategray,52.835623722701655,-2.144554267313248,-10.567919724202945
36,dodgerblue,59.37794997752202,9.953847832122499,-63.383416064579954
37,aliceblue,97.17863626262586,-1.3511138696665204,-4.258191426690727
38,steelblue,52.46539357569368,-4.080020665768402,-32.18828082787921
39,lightskyblue,79.72292492526458,-10.834122169859183,-28.4971448164111
40,skyblue,79.2070666326951,-14.84174462464588,-21.272052186887237
41,deepskyblue,72.5457922790798,-17.66212904982073,-42.53646958141972
42,lightblue,83.81293650733589,-10.89428949764637,-11.472307533760384
43,powderblue,86.13241791665368,-14.09539576894886,-8.00323429779628
44,cadetblue,61.153177656929415,-19.68143178297499,-7.41740684488843
45,darkturquoise,75.29030008432491,-40.04593801549666,-13.50915629062095
46,azure,98.93242090016756,-4.882890849832844,-1.6836042034208853
47,lightcyan,97.86742219354822,-9.947066498111056,-3.370350505322728
48,paleturquoise,90.06002410582283,-19.640933719364263,-6.395433128237671
49,aqua,91.11330144068016,-48.090596233016704,-14.12632982008224
50,darkcyan,52.20546965958896,-30.62216977878385,-8.995082281900867
51,teal,48.25414242806909,-28.848144705149263,-8.473972849656963
52,darkslategray,31.255255117651217,-11.721042660591486,-3.721598457225783
53,mediumturquoise,76.88107906475207,-37.36266501265539,-8.350709079932383
54,lightseagreen,65.78541288359489,-37.516123693922545,-6.327366360247266
55,turquoise,81.26453965033859,-44.0843377060901,-4.024225938475623
56,aquamarine,92.03413248880132,-45.52678157064122,9.72230196733268
57,mediumaquamarine,75.69143079618323,-38.33754294326902,8.311530144897695
