index,l,a,b,de,en,fr,es,it,nl,ral,hex,de_short,en_short,fr_short
1,76.02,-0.37,27.64,Grünbeige,Green beige,Beige vert,Beige verdoso,Beige verdastro,Groenbeige,RAL 1000,#BEBD7F,beige,beige,beige
2,74.99,5.1,24.64,Beige,Beige,Beige,Beige,Beige,Beige,RAL 1001,#C2B078,beige,beige,beige
3,73.45,6.83,33.8,Sandgelb,Sand yellow,Jaune sable,Amarillo arena,Giallo sabbia,Zandgeel,RAL 1002,#C6A664,gelb,yellow,jaune
4,75.99,18.8,72.93,Signalgelb,Signal yellow,Jaune de sécurité,Amarillo señales,Giallo segnale,Signaalgeel,RAL 1003,#E5BE01,gelb,yellow,jaune
5,71.42,15.28,69.28,Goldgelb,Golden yellow,Jaune or,Amarillo oro,Giallo oro,Goudgeel,RAL 1004,#CDA434,gelb,yellow,jaune
6,65.65,12.3,61.9,Honiggelb,Honey yellow,Jaune miel,Amarillo miel,Giallo miele,Honinggeel,RAL 1005,#A98307,gelb,yellow,jaune
7,68.2,21.13,65.98,Maisgelb,Maize yellow,Jaune maïs,Amarillo maiz,Giallo polenta,Maisgeel,RAL 1006,#E4A010,gelb,yellow,jaune
8,68.38,25.44,67.13,Narzissengelb,Daffodil yellow,Jaune narcisse,Amarillo narciso,Giallo narciso,Narcissengeel,RAL 1007,#DC9D00,gelb,yellow,jaune
9,59.92,11.35,29.17,Braunbeige,Brown beige,Beige brun,Beige pardo,Beige marrone,Bruinbeige,RAL 1011,#8A6642,gelb,yellow,jaune
10,75.04,4.64,61.31,Zitronengelb,Lemon yellow,Jaune citron,Amarillo limón,Giallo limone,Citroengeel,RAL 1012,#C7B446,gelb,yellow,jaune
11,88.13,0.19,9.67,Perlweiß,Oyster white,Blanc perlé,Blanco perla,Bianco perla,Parelwit,RAL 1013,#EAE6CA,gelb,yellow,jaune
12,81.22,2.47,22.88,Elfenbein,Ivory,Ivoire,Marfil,Avorio,Ivoorkleurig,RAL 1014,#E1CC4F,gelb,yellow,jaune
13,86.4,2.06,15.48,Hellelfenbein,Light ivory,Ivoire clair,Marfil claro,Avorio chiaro,Licht ivoorkleurig,RAL 1015,#E6D690,gelb,yellow,jaune
14,88.37,-9.78,71.3,Schwefelgelb,Sulfur yellow,Jaune soufre,Amarillo azufre,Giallo zolfo,Zwavelgeel,RAL 1016,#EDFF21,gelb,yellow,jaune
15,76.32,19.37,51.02,Safrangelb,Saffron yellow,Jaune safran,Amarillo azafrán,Giallo zafferano,Saffraangeel,RAL 1017,#F5D033,gelb,yellow,jaune
16,84.83,3.05,69.19,Zinkgelb,Zinc yellow,Jaune zinc,Amarillo de zinc,Giallo zinco,Zinkgeel,RAL 1018,#F8F32B,gelb,yellow,jaune
17,62.62,4.31,12.94,Graubeige,Grey beige,Beige gris,Beige agrisado,Beige grigiastro,Grijsbeige,RAL 1019,#9E9764,gelb,yellow,jaune
18,61.98,0.39,23.18,Olivgelb,Olive yellow,Jaune olive,Amarillo oliva,Giallo olivastro,Olijfgeel,RAL 1020,#999950,gelb,yellow,jaune
19,78.88,10.03,82.04,Rapsgelb,Rape yellow,Jaune colza,Amarillo colza,Giallo navone,Koolzaadgeel,RAL 1021,#F3DA0B,gelb,yellow,jaune
20,79.07,10.46,80.5,Verkehrsgelb,Traffic yellow,Jaune signalisation,Amarillo tráfico,Giallo traffico,Verkeersgeel,RAL 1023,#FAD201,gelb,yellow,jaune
21,64.2,7.95,36.66,Ockergelb,Ochre yellow,Jaune ocre,Amarillo ocre,Giallo ocra,Okergeel,RAL 1024,#AEA04B,gelb,yellow,jaune
