index,term,l,a,b
828,brick,38.26192800131696,42.886080957162925,35.11513397366364
829,sage,67.02138942725024,-24.283760333925876,26.130087682919644
830,grey green,60.49199323128444,-20.125998795628487,17.140484863050464
831,white,100.0,-0.0024549378620508655,0.004653421154054982
832,robin's egg blue,89.50706871941405,-23.703548257929306,-13.085909068427348
833,moss green,53.510986812035,-27.54768568014121,39.396580268308156
834,steel blue,50.88886651894116,-4.515109913311665,-19.487834107638612
835,eggplant,11.075546878794139,29.168685011134787,-16.83882948972626
836,light yellow,97.45089433600808,-16.540951068568454,62.30179884615432
837,leaf green,62.218863580908376,-46.74182442378122,62.996023141590676
838,light grey,87.30995219642483,-2.433509895703012,2.4732692828165037
839,puke,65.68254896776737,-15.533363087284757,67.94584542357876
840,pinkish purple,55.92681564662604,71.75194117867834,-45.7988028665099
841,sea blue,45.19956121869973,-14.941584210872104,-25.54790939294542
842,pale purple,65.56722388202884,27.378749440421736,-29.309659589846436
843,slate blue,50.61494950288329,-3.9395544166247465,-19.318102879564634
844,blue grey,50.51628249130712,-5.481297523444395,-13.000515715290618
845,hunter green,22.845331926790266,-29.050903592329814,27.2548796993679
846,fuchsia,55.386112541386154,89.34346989405827,-47.554652432338095
847,crimson,28.411115658477236,51.51507740875341,35.23974087829305
848,pale yellow,97.81235601384672,-16.201907045497233,58.21637348812627
849,ochre,62.538365981271866,7.445488156455293,66.38733992522276
850,mustard yellow,76.14363929449428,-7.9553647150918945,76.52145775281073
851,light red,58.31591814217826,68.79929433786452,39.26401649264645
852,cerulean,53.38604568018819,-1.9761158310031002,-47.36395537352918
853,pale pink,87.5118878787611,18.86438338025387,-0.008084307093558785
854,deep blue,11.320921073076146,43.09712490361202,-59.0912198115884
855,rust,40.538804285900504,42.446127667660285,48.954639807524295
856,light teal,84.61937430628485,-33.15042376487004,9.095378595301295
857,slate,41.643844645568194,-4.190181786497132,-9.76598531924261
858,goldenrod,81.24933447197418,6.73427137797733,82.45407966939923
859,dark yellow,74.58892192425414,-3.019182553112232,75.49722149334453
860,dark grey,22.97314677799838,-0.43154077449555905,-0.14946148987935448
861,army green,36.710586076310186,-18.008396718112827,36.381163125976755
862,grey blue,56.35734816917483,-4.916698846643641,-16.840583404704912
863,seafoam,89.55861594046652,-50.5165319393508,26.253150103736054
864,puce,55.61595492228409,9.52750329295382,29.677538831691162
865,spring green,90.49492180867331,-46.92422516102229,56.80908681266852
866,dark orange,49.37299495967375,43.810740503699655,58.820579066926996
867,sand,81.68591825930899,-2.5031177670853944,44.78340635317264
868,pastel green,93.09426425008134,-41.917204925770946,39.34277734787068
869,mint,92.30331281756087,-43.76995041926241,28.676452944309982
870,light orange,76.1337516428741,22.178760286769073,60.75402407046322
871,bright pink,56.35963636120199,88.53613414628086,-22.765524131636283
872,chartreuse,91.00494261766991,-43.02343912646717,87.26765362611616
873,deep purple,10.296366087672794,33.93380811680551,-25.30444474393571
874,dark brown,13.016388371018493,9.245878654775192,18.687595045466164
875,taupe,67.82947303279829,3.3882035425918944,20.287784853137424
876,pea green,65.68676068207843,-28.240511796221,64.93626590386005
877,puke green,67.39544798277552,-24.795274768187824,68.22415975008987
878,kelly green,61.075514851474665,-61.540733900135706,51.08242318403791
879,seafoam green,89.31121297065809,-52.332979808763504,26.896690809676382
880,blue green,47.18764408995555,-32.53775256085359,1.1847490694434804
881,khaki,67.0523088664734,-8.63771525967849,35.65094370272228
882,burgundy,18.642615625321596,40.89941500224381,8.515158461196293
883,dark teal,29.066043708839565,-19.743029410133477,-6.499300692908083
884,brick red,30.26975015719168,48.5060532593366,42.57552786035028
885,royal purple,18.460123337852835,47.35099753451244,-43.77072213595512
886,plum,19.218218389248385,37.394203808993026,-12.158819742315064
887,mint green,91.6218815798315,-51.45928422293022,36.144962741865584
888,gold,74.65578243751818,0.6755558593225519,75.58057350788768
889,baby blue,81.54367125264578,-3.5492951263139116,-27.71480249471685
890,yellow green,91.85960642850009,-43.98225898423763,82.64587379445977
891,bright purple,49.622888811194784,88.66462517449165,-77.52564895717806
892,dark red,26.468645210534675,49.12453696801672,39.25465335447364
893,pale blue,96.59368404494037,-14.539295851216993,-4.843292603446203
894,grass green,56.60732283909492,-49.9696275373015,56.96621619959061
895,navy,8.042937967374876,11.146226022023919,-28.541801244020267
896,aquamarine,77.48833209127051,-52.838516014975525,6.382711399579821
897,burnt orange,47.829863982629284,42.953600042447746,57.67101644380642
898,neon green,87.78570826149814,-85.66923562823719,82.32256773099856
899,bright blue,47.41556271842446,34.71425643798798,-81.13489090389561
900,rose,55.36827625079255,44.90517620889683,10.188475679588006
901,light pink,88.06039784580399,18.294184093525622,-0.793636795068764
902,mustard,73.13275052393978,-4.623888547434396,75.13202022440649
903,indigo,17.89806876264003,49.37358205229855,-57.64787269144489
904,lime,91.81710245144305,-53.410179693780144,80.9546361762288
905,sea green,88.93601389223346,-63.171978656672515,31.250204890578814
906,periwinkle,60.66651253534717,34.69157212333357,-60.49703350137816
907,dark pink,48.93608748827539,57.38456078064924,6.958972965383858
908,olive green,48.02174191251257,-21.177053852377668,52.079850612046116
909,peach,78.32780572579469,23.298637216762064,38.1411286942481
910,pale green,94.19574230839207,-29.956692657306107,29.06843629495688
911,light brown,57.236588852694425,11.102777154018916,32.9886815762622
912,hot pink,55.31130047930385,85.39373477120482,-3.087414915716824
913,black,0.0,0.0,0.0
914,lilac,73.58069867914841,33.28848440488941,-39.199369077200764
915,navy blue,7.613684197426611,17.958395040237495,-34.9115559249553
916,royal blue,20.124364615429236,57.394348048341705,-78.79237053948009
917,beige,86.8596500538806,-3.7788418555133596,27.141873268205742
918,salmon,66.53774233067493,49.97027552482125,31.609409978762535
919,olive,47.06575368020236,-15.072136429017501,49.427665425166126
920,maroon,19.54598774735861,41.82858389075347,11.330670918184405
921,bright green,87.7456334221697,-86.0574065282138,82.65914691257935
922,dark purple,10.8133151281667,31.166997977935374,-23.768130674399714
923,mauve,54.44421811327919,26.351967608678915,1.2384974077548572
924,forest green,25.47730448445776,-32.20451897218904,28.225915512318693
925,aqua,83.54543699376201,-53.67055349254207,2.951682735278971
926,cyan,91.11330144068016,-48.090596233016704,-14.12632982008224
927,tan,73.89846267796761,2.4508591455685846,38.274331544890885
928,dark blue,7.408148910240119,35.27773817330335,-49.73122887563568
929,lavender,71.6704558021333,29.805198518976617,-34.61397293084856
930,turquoise,70.59247192921806,-45.336214454972875,-0.37497520608604784
931,dark green,18.211962873984838,-27.567145336531638,25.30519914043316
932,violet,42.950000280214766,79.90018245080927,-77.9717267904616
933,light purple,62.44337596975069,50.748281834655295,-52.98867328170624
934,lime green,89.95710175540384,-64.76061729778831,85.6344805141374
935,grey,61.351207316757396,-1.8659738787908386,1.7304234839959243
936,sky blue,73.81119853729787,-3.791491965939031,-39.30171664247315
937,yellow,97.16002382286082,-21.388590096353354,92.92962695844179
938,magenta,42.50391802157968,70.89666215224688,-10.67768873494337
939,light green,89.70274256157816,-51.91611767972443,51.096980095740086
940,orange,63.68881904534851,46.88932143172509,70.64348861001433
941,teal,54.657570117238706,-35.80946495440773,-2.4661202459722364
942,light blue,81.0304505120388,-7.9533753261218365,-27.499425268715406
943,red,47.83331463119095,73.83758085160497,61.95462053248127
944,brown,28.113845637970073,16.744486141482135,38.359979325999184
945,pink,70.01509215262121,54.814267831928554,-10.628881349042917
946,blue,36.66626933017148,45.32554426550489,-82.45619785016127
